Timestamp,Mode,Dimension_Scale,Density,Regions,Scenarios,Time_Units,Active_Nodes,Initial_Shock,Systemic_Impact,System_Broken,Break_Point_Density,Impact_Factor
2026-04-30 10:48:31,isolated,10,0.1,20,10,12,500,1000000.0,37731855.56786841,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,10,0.5,20,10,12,500,1000000.0,45882497.28644291,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,10,1.0,20,10,12,500,1000000.0,49577737.84768515,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,10,2.0,20,10,12,500,1000000.0,62697954.42140815,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,10,5.0,20,10,12,500,1000000.0,897457301.5124307,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,50,0.1,20,10,12,500,1000000.0,41706056.3144784,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,50,0.5,20,10,12,500,1000000.0,53869933.910766885,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,50,1.0,20,10,12,500,1000000.0,49857496.104798675,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,50,2.0,20,10,12,500,1000000.0,75346571.53072056,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,50,5.0,20,10,12,500,1000000.0,1023889731.2442931,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,100,0.1,20,10,12,500,1000000.0,36714929.94647108,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,100,0.5,20,10,12,500,1000000.0,44994224.71609573,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,100,1.0,20,10,12,500,1000000.0,50663759.99153065,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,100,2.0,20,10,12,500,1000000.0,64205006.44862618,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,100,5.0,20,10,12,500,1000000.0,849484812.6903588,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,250,0.1,20,10,12,500,1000000.0,42050427.54826012,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,250,0.5,20,10,12,500,1000000.0,55393354.04361977,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,250,1.0,20,10,12,500,1000000.0,53817352.856483474,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,250,2.0,20,10,12,500,1000000.0,885684478.8779191,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,250,5.0,20,10,12,500,1000000.0,750550366.734034,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,500,0.1,20,10,12,500,1000000.0,36594561.49639936,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,500,0.5,20,10,12,500,1000000.0,58277907.27645141,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,500,1.0,20,10,12,500,1000000.0,54467488.03219509,True,2.0,24.378326934387932
2026-04-30 10:48:31,isolated,500,2.0,20,10,12,500,1000000.0,125846595.99683471,True,2.0,24.378326934387932
